Name,Actual,Predicted,Probaility left,Probaility Right,Correctly Classified
-1,-1,-1,1.0,0.0,1
1,1,1,0.24922443640908018,0.7507755635909197,1
-1,-1,1,0.1454102279902427,0.8545897720097573,0
1,1,1,0.23547045737093503,0.764529542629065,1
-1,-1,-1,1.0,0.0,1
1,1,-1,0.8557449448966511,0.14425505510334852,0
-1,-1,-1,0.9659243144192753,0.034075685580724775,1
1,1,1,0.028235294117647056,0.9717647058823529,1
-1,-1,-1,1.0,0.0,1
-1,-1,-1,1.0,0.0,1
1,1,1,0.28311724868411486,0.7168827513158851,1
-1,-1,-1,0.8557449448966511,0.14425505510334852,1
1,1,1,0.07411694426874693,0.9258830557312531,1
-1,-1,1,0.444995036004252,0.555004963995748,0
-1,-1,-1,0.9570512122019363,0.04294878779806346,1
1,1,-1,0.7292099444000227,0.2707900555999772,0
1,1,1,0.1266154380299849,0.8733845619700152,1
-1,-1,-1,0.9692257908153264,0.03077420918467342,1
-1,-1,-1,0.989268348255373,0.01073165174462694,1
-1,-1,-1,0.8557449448966511,0.14425505510334852,1
-1,-1,-1,0.99,0.01,1
-1,-1,-1,0.9970588235294118,0.0029411764705882353,1
-1,-1,-1,0.9677643904781634,0.032235609521836336,1
