Name,Actual,Predicted,Probaility left,Probaility Right,Correctly Classified
-1,-1,-1,1.0,0.0,1
-1,-1,-1,1.0,0.0,1
-1,-1,-1,0.5913239815739815,0.4086760184260184,1
-1,-1,-1,0.8668272604191786,0.13317273958082063,1
-1,-1,-1,1.0,0.0,1
-1,-1,-1,0.8668272604191786,0.13317273958082063,1
1,1,-1,0.5573874417655722,0.4426125582344278,0
1,1,1,0.24733333333333335,0.7526666666666667,1
-1,-1,-1,0.5375627705627707,0.4624372294372295,1
-1,-1,-1,1.0,0.0,1
1,1,1,0.154,0.846,1
-1,-1,-1,0.8668272604191786,0.13317273958082063,1
-1,-1,1,0.37933658008658017,0.6206634199134199,0
1,1,1,0.2945046937996251,0.7054953062003751,1
1,1,1,0.19,0.81,1
1,1,1,0.26428649128649134,0.7357135087135087,1
-1,-1,-1,0.8668272604191786,0.13317273958082063,1
-1,-1,-1,0.8309119481588216,0.1690880518411778,1
-1,-1,-1,0.8668272604191786,0.13317273958082063,1
-1,-1,1,0.1351081081081081,0.8648918918918918,0
-1,-1,-1,1.0,0.0,1
-1,-1,-1,1.0,0.0,1
1,1,-1,0.6510703463203462,0.3489296536796537,0
