Name,Actual,Predicted,Probaility left,Probaility Right,Correctly Classified
-1,-1,-1,0.8709393890486896,0.1290606109513103,1
1,1,1,0.31298476746896076,0.6870152325310395,1
1,1,1,0.13246825396825393,0.867531746031746,1
-1,-1,-1,0.8709393890486896,0.1290606109513103,1
1,1,1,0.15217327598357583,0.8478267240164241,1
-1,-1,-1,0.8709393890486896,0.1290606109513103,1
1,1,1,0.339005815645042,0.660994184354958,1
1,1,1,0.0689247311827957,0.9310752688172044,1
1,1,-1,0.8709393890486896,0.1290606109513103,0
-1,-1,-1,0.8709393890486896,0.1290606109513103,1
-1,-1,-1,1.0,0.0,1
1,1,-1,0.8709393890486896,0.1290606109513103,0
-1,-1,-1,0.8709393890486896,0.1290606109513103,1
-1,-1,-1,1.0,0.0,1
1,1,1,0.127625,0.872375,1
1,1,-1,0.8709393890486896,0.1290606109513103,0
1,1,1,0.2819625751937396,0.7180374248062605,1
-1,-1,-1,0.8709393890486896,0.1290606109513103,1
1,1,1,0.01,0.99,1
-1,-1,-1,0.8709393890486896,0.1290606109513103,1
-1,-1,-1,0.8709393890486896,0.1290606109513103,1
-1,-1,-1,0.8709393890486896,0.1290606109513103,1
1,1,1,0.39705555555555555,0.6029444444444444,1
